,precision,recall,f1-score,support
Action,0.5153562653562653,0.6261194029850746,0.5653638814016173,1340.0
Adventure,0.4075993091537133,0.35276532137518685,0.37820512820512825,669.0
Animation,0.4954128440366973,0.42077922077922075,0.45505617977528084,385.0
Aniplex,0.0,0.0,0.0,0.0
BROSTA TV,0.0,0.0,0.0,0.0
Carousel Productions,0.0,0.0,0.0,0.0
Comedy,0.5105895821408128,0.7130295763389288,0.5950633755837225,2502.0
Crime,0.45805739514348787,0.48032407407407407,0.4689265536723164,864.0
Documentary,0.6225988700564972,0.7064102564102565,0.6618618618618619,780.0
Drama,0.5778886118038238,0.8664007976071785,0.6933280143612246,4012.0
Family,0.5,0.4227005870841487,0.45811240721102864,511.0
Fantasy,0.4632352941176471,0.28378378378378377,0.3519553072625698,444.0
Foreign,0.0,0.0,0.0,306.0
GoHands,0.0,0.0,0.0,0.0
History,0.3617021276595745,0.11604095563139932,0.1757105943152455,293.0
Horror,0.5786948176583493,0.6575790621592148,0.6156202143950995,917.0
Mardock Scramble Production Committee,0.0,0.0,0.0,0.0
Music,0.5204918032786885,0.40445859872611467,0.4551971326164874,314.0
Mystery,0.4630541871921182,0.19665271966527198,0.27606461086637296,478.0
Odyssey Media,0.0,0.0,0.0,0.0
Pulser Productions,0.0,0.0,0.0,0.0
Rogue State,0.0,0.0,0.0,0.0
Romance,0.47545582047685836,0.518348623853211,0.49597659107534753,1308.0
Science Fiction,0.5862676056338029,0.5485996705107083,0.566808510638298,607.0
Sentai Filmworks,0.0,0.0,0.0,0.0
TV Movie,0.0,0.0,0.0,164.0
Telescene Film Group Productions,0.0,0.0,0.0,0.0
The Cartel,0.0,0.0,0.0,0.0
Thriller,0.46390168970814133,0.5913838120104439,0.5199426111908179,1532.0
Vision View Entertainment,0.0,0.0,0.0,0.0
War,0.5588235294117647,0.5037878787878788,0.5298804780876495,264.0
Western,0.6914285714285714,0.4763779527559055,0.5641025641025641,254.0
nan,0.0,0.0,0.0,0.0
micro avg,0.5289780772423222,0.6037672759696835,0.5639037085230969,17944.0
macro avg,0.28031994921990344,0.26925885741024247,0.2674901823218979,17944.0
weighted avg,0.5085583598034483,0.6037672759696835,0.5423240559974946,17944.0
samples avg,0.5578311158189824,0.6224570807988402,0.5481186753178665,17944.0
